轮次,学习率,训练损失,训练准确率,验证损失,验证准确率,本轮耗时（秒）,累计耗时（秒）
145,0.1,0.17617509102556442,0.939,0.40573233680725096,0.8846,21.889432599999054,3340.5654587999998
146,0.1,0.17788875346316232,0.9382888888888888,0.3209563106536865,0.8998,21.857315399998697,3362.4228941
147,0.1,0.169010108505355,0.9400888888888889,0.45335290193557737,0.8692,21.919837299999926,3384.3428523000002
148,0.1,0.18129705902470483,0.9362666666666667,0.3233409709453583,0.8984,21.84530160000031,3406.1882720000012
149,0.1,0.1777796829064687,0.9371777777777778,0.3716907170295715,0.885,21.85653110000021,3428.0449245
150,0.1,0.17939468117952348,0.9376444444444444,0.4009960558891296,0.8844,21.850272300000142,3449.8953060000003
151,0.010000000000000002,0.08513405778408051,0.9716444444444444,0.20196711431741715,0.938,21.85306870000022,3471.748494200001
152,0.010000000000000002,0.05554188862178061,0.9829111111111111,0.19830804653167725,0.9394,21.832603900000322,3493.5868839000013
153,0.010000000000000002,0.04578976821170913,0.9864444444444445,0.1928151022672653,0.9398,21.813091100000747,3515.4074015000006
154,0.010000000000000002,0.03996600975957182,0.9882444444444445,0.2050647693872452,0.9408,21.820311100000254,3537.2338258
155,0.010000000000000002,0.03454807725391454,0.9900444444444444,0.20170720920562743,0.9416,21.917113899999094,3559.1563841999996
156,0.010000000000000002,0.0323480967849493,0.9907777777777778,0.20030912706851958,0.9412,21.837743899999623,3581.0013163000003
157,0.010000000000000002,0.029196668735146522,0.9917111111111111,0.2028298836827278,0.9446,21.82285000000047,3602.824289600001
158,0.010000000000000002,0.028064611265228856,0.9921555555555556,0.20874042660593986,0.9432,21.846774699999514,3624.677785
159,0.010000000000000002,0.024585361819300388,0.9932666666666666,0.21226373544335364,0.9408,21.865828000001784,3646.5437387
160,0.010000000000000002,0.022224347588585484,0.9939555555555556,0.20982279640436172,0.9448,21.915777199999866,3668.4597513999997
161,0.010000000000000002,0.021146224058005546,0.9941333333333333,0.21738545775413512,0.9444,21.81878350000079,3690.2858182
